연번,업체명,주소,전화번호
1,가족동물병원,전라북도 군산시 나운동 153번지 4호,063-446-6688
2,금강동물병원,전라북도 군산시 장재동 40번지 3호,063-446-4572
3,푸른동물병원,전라북도 군산시 동흥남동 400번지 15호,063-466-8711
4,수송반려동물병원,전라북도 군산시 수송동 858번지 7호,063-463-5575
5,스마일동물병원,전라북도 군산시 나운동 846번지 10호,063-466-8886
6,해맑은동물병원,전라북도 군산시 나운동 100번지 12호,063-464-7582
7,쿨펫동물병원(이마트 군산점),전라북도 군산시 경암동 590번지 296호,063-442-7531
8,군산24시제일동물병원,전라북도 군산시 미장동 495번지 6호,063-461-5079
9,연합가축병원,전라북도 군산시 장재동 206-5,063-445-2544
10,해동가축병원,전라북도 군산시 중앙로 59 (장재동),063-442-1593
11,더사랑 동물병원,전라북도 군산시 수송동 68번지 1호,063-468-7975
12,도담동물병원,전라북도 군산시 수송로 291(미장동)2층,063-452-6700
13,엔젤애견수족관 화원,전라북도 군산시 수송동 7번지 153호,063-468-9590
14,월드애견센타,"전라북도 군산시 중앙로 60 (장재동, 월드애견)",063-446-5565
15,아임독애견샵,전라북도 군산시 나운동 817-7,063-466-7270
16,애견사랑,전라북도 군산시 대명동 385-49,063-446-8884
17,퍼피하우스,전라북도 군산시 문화동 918-5,063-462-4575
