연번,업체명,주소,전화번호
1,박동물병원,전라북도 완주군 봉동읍 봉동로 133,063-261-7189
2,우리가축병원,전라북도 완주군 고산면 읍내1길 11,063-262-8575
3,이영준동물병원,전라북도 완주군 봉동읍 봉동동서로 40,063-263-5100
4,연합동물병원,전라북도 완주군 용진읍 완주로 179,063-271-0457
5,태산동물병원,전라북도 완주군 상관면 신리로 75,063-231-1605
6,최동물병원,전라북도 완주군 삼례읍 삼봉로 5-1,063-291-6200
7,국립축산과학원 동물병원,전라북도 완주군 이서면 콩쥐팥쥐로 1500,063-238-7223
8,광희동물병원,전라북도 완주군 이서면 콩쥐팥쥐로 1047,063-229-6649
9,이서동물병원,전라북도 완주군 이서면 원은교길 10,063-222-4227
10,이노동물병원,전라북도 완주군 이서면 안전로 153,063-277-0007
11,삼정동물병원,전라북도 완주군 삼례읍 삼봉로 63-34,
12,시그니처 동물병원,전라북도 완주군 이서면 오공로 11-28,063-717-8275
13,소원동물병원,전라북도 완주군 봉동읍 삼봉로 914-1,
14,다온동물병원,전라북도 완주군 고산면 고산로 74,
