연번,업체명,주소,전화번호
1,삼성동물병원,전라북도 익산시 금마면동고도리697번지 ,063-836-6222
2,서울동물병원,전라북도 익산시 함열읍 함열로 78-1,063-861-0546
3,대학동물병원,전라북도 익산시 인북로 139 (창인동1가),063-841-0811
4,황등동물병원,전라북도 익산시 황등면황등리893번지 ,063-856-5010
5,퍼피존동물병원,전라북도 익산시 익산대로 190 (창인동1가),063-841-0010
6,왕궁동물병원,전라북도 익산시 왕궁면구덕리522-10 ,063-291-5214
7,전북동물병원,전라북도 익산시 인화동1가132번지 ,063-855-2948
8,고려동물병원,전라북도 익산시 무왕로 1032 (영등동),063-855-0124
9,김동물병원,전라북도 익산시 황등면 황등7길 17,063-856-4942
10,미래종합동물병원,전라북도 익산시 무왕로 1132 (어양동),063-833-7582
11,와우동물병원,"전라북도 익산시 무왕로17길 44-14 (영등동,2층)",063-836-7588
12,해원이네동물병원,전라북도 익산시 여산면 여강로 4 (여산슈퍼마켓),
13,익산군산축협동물병원,전라북도 익산시 함라면 용산로 497,063-862-5557
14,쿨펫동물병원,전라북도 익산시 무왕로 1053 (영등동),063-833-7570
15,휴동물병원,전라북도 익산시 무왕로23길 3 (부송동),063-831-5115
16,현대동물병원,"전라북도 익산시 선화로 321, 1층 (마동)",063-291-7218
17,익산산업동물병원,"전라북도 익산시 배산로24길 16 (모현동1가, 상가)",063-831-6179
18,(주)하림애니멀클리닉,전라북도 익산시 중앙로 121(마동),063-831-1252
19,금강동물병원,전라북도 익산시 익산대로 204 (창인동1가),063-858-7582
20,우리들동물병원,전라북도 익산시 금마면 미륵사지로 68,063-834-7585
21,하나로동물병원,"전라북도 익산시 목천로 20, 1층 (목천동)",
22,다민동물병원,전라북도 익산시 춘포면 쌍정길 16-1,063-291-0727
23,우성동물병원,전라북도 익산시 함열읍 함열10길 26,
24,전북동물의료센터,전라북도 익산시 고봉로 79 (마동),063-850-0970
25,전북야생동물구조관리센터,"전라북도 익산시 고봉로 79 (마동, 전북대학교)",063-850-0975
26,모현동물병원,전라북도 익산시 선화로 114 (남중동),
27,에버그린 펫 클리닉,"전라북도 익산시 동서로63길 4 (어양동, 하모니시티)",063-834-7553
28,조한웅동물병원,"전라북도 익산시 춘포면 궁성로 130, 고려온천아파트상가 107동 104호",
