연번,업체명,주소,전화번호
1,21세기 동물병원,전라북도 전주시 덕진구 시천로 26 (송천동1가),063-251-1015
2,24시 올리몰스 동물 메디컬 센터,전라북도 전주시 덕진구 송천중앙로 213 (송천동1가),063-275-7979
3,MVP동물병원,"전라북도 전주시 완산구 세내로 285, 샘물아동병원 1층 108호 (효자동3가)",063-227-8575
4,개린이 동물병원,전라북도 전주시 완산구 서원로 168 (효자동2가),
5,늘푸른 동물병원,전라북도 전주시 완산구 충경로 11 (다가동3가),063-281-0075
6,닥터펫동물병원,전라북도 전주시 완산구 백제대로 378 (서신동),063-272-0075
7,대영동물병원,전라북도 전주시 덕진구 동부대로 582 (산정동),063-246-7155
8,더펫 동물병원,전라북도 전주시 덕진구 한배미1길 61 (인후동1가),070-4113-7566
9,데이지동물병원,전라북도 전주시 완산구 거마평로 170 (효자동1가),063-225-7588
10,동물치유쉼터,"전라북도 전주시 덕진구 소리로 68 (덕진동1가, 전주동물원)",063-281-6740
11,동부 동물병원,전라북도 전주시 완산구 기린대로 139 (경원동3가),063-231-2455
12,마루 동물병원,전라북도 전주시 완산구 감나무3길 4 (서신동),063-276-7500
13,메이동물메디컬센터,전라북도 전주시 완산구 백제대로 332(중화산동2가),063-285-7975
14,모래내 동물병원,전라북도 전주시 덕진구 안덕원로 165 (인후동2가),063-274-7500
15,바우동물병원,전라북도 전주시 덕진구 견훤로 491 (우아동3가),
16,박영재 동물병원,전라북도 전주시 완산구 전주천서로 111 (서서학동),
17,사라 양한방 동물병원,전라북도 전주시 덕진구 벚꽃로 21 (진북동),063-901-7582
18,사랑플러스 동물병원,전라북도 전주시 덕진구 쪽구름2길 3 (반월동),
19,산책동물병원,전라북도 전주시 덕진구 건산로 290 (우아동2가),063-244-7509
20,서신 동물병원,전라북도 전주시 완산구 서신로 33 (서신동),063-253-2747
21,송 동물의료센터,전라북도 전주시 덕진구 견훤로 247 (인후동1가),063-247-6677
22,수종합24시 동물병원,전라북도 전주시 완산구 백제대로 400 (서신동),063-273-7272
23,스누피 동물병원,전라북도 전주시 덕진구 안덕원로 238 (인후동1가),063-241-7275
24,스마일동물병원,전라북도 전주시 덕진구 천마산로 65 (송천동2가),063-273-1202
25,아리랑동물메디컬센터,"전라북도 전주시 완산구 서원로 294, 마리앤스튜디오 1,2층 (중화산동2가)",063-223-5311
26,아이들 동물병원,"전라북도 전주시 덕진구 만성중앙로 25, 미네르바빌딩 1층 101,102,103호 (만성동)",063-273-5575
27,아프리카 동물병원,전라북도 전주시 덕진구 아중로 142 (인후동1가),063-247-8874
28,에코동물병원,"전라북도 전주시 덕진구 세병로 41, B104호 (송천동2가, 에코시티 데시앙 4블럭)",063-251-7975
29,우리동물병원,전라북도 전주시 완산구 용머리로 86 (효자동1가),063-226-3333
30,웰동물병원,전라북도 전주시 완산구 서원로 72 (효자동2가),063-227-8275
31,유앤아이동물병원,전라북도 전주시 완산구 온고을로 102 (서신동),
32,이엘 동물병원,전라북도 전주시 완산구 장승배기로 321 (서서학동),063-283-6364
33,이지동물병원,전라북도 전주시 덕진구 쪽구름2길 16-2 (동산동),063-211-6677
34,자스민 동물병원,"전라북도 전주시 덕진구 백석로 18, 103호 (송천동2가)",063-276-3939
35,전북 동물병원,전라북도 전주시 덕진구 기린대로 284 (진북동),063-255-4567
36,전주김제완주축협 부속동물병원,전라북도 전주시 덕진구 동부대로 769 (호성동1가),063-240-2888
37,전주동물병원,전라북도 전주시 완산구 세내로 509-1 (효자동3가),063-255-0630
38,코끼리 동물병원,전라북도 전주시 완산구 중화산로 100 (중화산동2가),063-245-7975
39,코끼리 동물병원,전라북도 전주시 완산구 모악로 4769 (평화동1가),063-902-7975
40,코끼리 동물의료센터,"전라북도 전주시 완산구 모악로 4769, 2층 1호 (평화동1가)",
41,펫동물병원,"전라북도 전주시 완산구 거마평로 162, 101호 (효자동1가)",
42,푸른 동물병원,전라북도 전주시 덕진구 쪽구름로 71-2 (반월동),063-211-2662
43,푸른하늘 동물병원,전라북도 전주시 완산구 모악로 4704 (평화동2가),063-222-4119
44,프렌즈동물병원,전라북도 전주시 완산구 거마평로 86 (삼천동1가),063-227-4975
45,하나 동물병원,"전라북도 전주시 덕진구 송천중앙로 17, 1층 (덕진동2가)",063-253-5677
46,하루동물병원,"전라북도 전주시 완산구 모악로 4692, 매직카 (평화동2가)",063-232-5900
47,하트동물병원,전라북도 전주시 덕진구 두간1길 5 (송천동1가),063-276-7675
48,행복한 동물병원,전라북도 전주시 덕진구 건산로 243 (인후동1가),063-244-0090
49,혁신동물병원,전라북도 전주시 덕진구 기지로 72 (중동),063-229-5333
50,홍 동물병원,전라북도 전주시 완산구 팔달로 99-2 (전동),063-284-6520
51,효자 동물병원,전라북도 전주시 완산구 백제대로 121 (효자동1가),063-224-6672
52,힐링동물병원,전라북도 전주시 덕진구 송천중앙로 177 (송천동1가),063-272-8575
