연번,업체명,주소,전화번호
1,칠보동물병원,전라북도 정읍시 칠보면 복호2길 19-1,063-539-6382
2,최동물병원,전라북도 정읍시 칠보면 칠보중앙로 82-1,063-539-6382
3,대한동물병원,"전라북도 정읍시 관통로 14, 누나분식 (장명동)",063-539-6382
4,정읍축산동물병원,전라북도 정읍시 고부면 영주로 582-9,063-539-6382
5,김용태동물병원,전라북도 정읍시 태인면 정읍북로 1250-1,063-539-6382
6,다나동물병원,"전라북도 정읍시 충정로 199, 다나동물병원 (장명동)",063-539-6382
7,녹십자동물병원,"전라북도 정읍시 시기4길 30, 녹십자동물병원 (시기동)",063-539-6382
8,청수동물병원,전라북도 정읍시 충정로 319 (연지동),063-539-6382
9,My pet 동물병원,"전라북도 정읍시 중앙로 83-1, 마이펫종합동물병원 (수성동)",063-539-6382
10,서울동물병원,전라북도 정읍시 명덕1길 19 (연지동),063-539-6382
11,쿨펫동물병원,전라북도 정읍시 농소동 446번지 1호 롯데마트 2층,063-539-6382
12,유한회사 키움팜동물병원,전라북도 정읍시 벚꽃로 28 (농소동),063-539-6382
13,동물의료센터 청십자,전라북도 정읍시 충정로 348 (연지동),063-539-6382
14,순정축협 동물병원,전라북도 정읍시 북면 정읍북로 710-1 (순정축산업협동조합TMF사료공장),063-539-6382
15,안정성평가연구소 전북흡입안전성연구본부 부속 동물병원,전라북도 정읍시 백학1길 30 (신정동),063-539-6382
16,우성동물병원,전라북도 정읍시 충정로 363 (연지동),063-539-6382
17,정주동물병원,전라북도 정읍시 칠보면 칠보중앙로 77-4,063-539-6382
18,수제동물병원,전라북도 정읍시 충정로 349 (연지동),063-539-6382
19,기린동물병원,전라북도 정읍시 충정로 92-1 (상동),063-539-6382
20,다산동물병원,"전라북도 정읍시 서부산업도로 437, (유)동성건설 (농소동)",063-539-6382
21,정주산업동물병원,"전라북도 정읍시 벚꽃로 48, 동물병원 (농소동)",063-539-6382
22,대성동물병원,전라북도 정읍시 서부산업도로 178 (상평동),063-539-6382
23,한국생명공학연구원 영장류자원지원센터 부속 동물병원,"전라북도 정읍시 입암면 넝메길 351-33, 영장류자원지원센터",063-539-6382
24,조은동물병원,"전라북도 정읍시 수성택지2길 1, 대한빌딩 1층 102호 (수성동)",063-539-6382
