연번,업체명,주소,전화번호
1,21세기종합약국,전라북도 전주시 덕진구 기린대로 400-8 (금암동),063-274-4949
2,365일박사약국,"전라북도 전주시 덕진구 기지로 77, 302동 A-113호 (장동, 전북혁신도시 더 M city 센텀)",063-226-3650
3,건강솔약국,전라북도 전주시 덕진구 사평로 38 (덕진동1가),
4,건강약국,"전라북도 전주시 완산구 장승배기로 262, 평화주공2단지상가동 105호 (평화동1가)",063-286-6220
5,건강한약국,"전라북도 전주시 덕진구 송천중앙로 225, 파인트리몰 (송천동2가)",063-255-8765
6,경인당약국,"전라북도 전주시 완산구 장승배기로 48 (삼천동1가, 삼천동 두일하나아파트 상가)",063-225-8255
7,관통약국,"전라북도 전주시 완산구 팔달로 181, 관통약국 (경원동1가)",
8,광혜당약국,"전라북도 전주시 완산구 효자천변2길 7, 굿모닝빌딩 101호 (효자동1가)",063-225-3584
9,국민약국,"전라북도 전주시 덕진구 혁신로 697, 드림프라자 106호 (반월동)",063-212-7478
10,금강약국,전라북도 전주시 덕진구 쪽구름로 109 (반월동),063-211-9619
11,기린약국,"전라북도 전주시 완산구 효천중앙로 22, A동 105호 (효자동2가)",
12,나을약국,"전라북도 전주시 완산구 서학로 37, 1층 (동서학동)",
13,남대문 약국,전라북도 전주시 완산구 풍남문4길 3 (전동3가),063-284-2106
14,녹십자약국,전라북도 전주시 완산구 용머리로 25-1 (효자동1가),063-227-8011
15,늘조은약국,"전라북도 전주시 완산구 문학대4길 28, 연세빌 늘조은약국 (효자동3가)",
16,다나동물약국,"전라북도 전주시 완산구 모악로 4746, 태양빌딩 105호 (평화동1가)",063-229-5979
17,다나약국,"전라북도 전주시 덕진구 쪽구름로 120, 102호 (반월동)",
18,다온약국,전라북도 전주시 완산구 소대배기로 22 (평화동2가),063-241-3341
19,다정한약국,"전라북도 전주시 완산구 용머리로 31, 홈플러스 지하2층 (효자동1가)",
20,대자연약국,전라북도 전주시 완산구 호암로 85(효자동2가),063-227-5508
21,대학약국,전라북도 전주시 덕진구 건지로 14-4 (금암동),
22,더건강약국,전라북도 전주시 완산구 효천중앙로 51 (효자동2가),
23,돌봄약국,"전라북도 전주시 완산구 효자천변2길 13, 상산빌딩 1층 101호 (효자동1가)",063-228-5525
24,드림약국,전라북도 전주시 완산구 호암로 59(효자동2가),063-224-5151
25,레몬약국,"전라북도 전주시 덕진구 기린대로 465, 세움펠리피아 3층 (덕진동1가)",063-277-0033
26,리더스종합약국,전라북도 전주시 완산구 온고을로 62 (서신동),063-253-3210
27,마더 온누리약국,전라북도 전주시 완산구 서원로 66 (효자동2가),063-222-0088
