연번,업체명,주소,전화번호
1,송약국,전라북도 정읍시 산외면 산외로 445-4,063-537-5080
2,명동약국,"전라북도 정읍시 중앙로 148 (시기동, 금탑금방)",063-538-7755
3,하나약국,"전라북도 정읍시 우암로 20, 1층 하나약국 (시기동)",063-538-6656
4,미소약국,"전라북도 정읍시 수성로 43, 그린빌딩 (수성동)",063-535-4271
5,로컬희망약국,전라북도 정읍시 시기1길 3 (시기동),063-537-7576
6,내장산약국,"전라북도 정읍시 중앙로 152, 내장산약국 (시기동)",063-535-3831
7,원약국,"전라북도 정읍시 중앙로 85-1, 이영식이비인후과소아과 (수성동)",063-535-5350
8,종로종합약국,"전라북도 정읍시 중앙로 24, 종로종합약국빌딩 (연지동)",063-533-0444
9,세계로약국,"전라북도 정읍시 남북로 48, 세계로약국중앙점 (수성동)",063-531-4222
10,세계로약국,전라북도 정읍시 남북로 48 (수성동),063-531-4222
